,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML
1892,455.31158981323244,0.20266719089834506,0.20702785106382482,868417.369140625
1893,455.3689360441985,0.1990361851851899,0.2006318888888909,1409014.75
1894,455.38327298845564,0.17120211068375513,0.17363595940170384,6113453.0
1895,456.23895802217373,0.19323922000000465,0.19472142444444202,177594.30151367188
1896,456.31507233650456,0.2028716166666671,0.20618663888889374,236752.24853515625
1897,456.3727132161458,0.19923885507246378,0.20067920289855073,358488.8662109375
1898,456.3866821289063,0.17131918093093648,0.17325863588589147,1647585.7138671875
1899,456.40358479817706,0.18768194246031847,0.18940583531746485,207087.28833007812
1900,457.3127502441406,0.16778921957671983,0.1691807328042373,200179.931640625
1901,457.3267247817096,0.1965298495370375,0.19798997916667085,191553.5185546875
1902,457.34831881136506,0.1893757430739706,0.1957330329354517,6182370.169433594
1903,457.3488063812256,0.17449296843434847,0.17600070959595604,194732.45458984375
1904,457.3893756866455,0.17153730072463771,0.17279882246376813,196939.94091796875
1905,457.3988566080729,0.17859740000000002,0.1799626,115335.1240234375
1906,458.3318010965983,0.1220635740740689,0.12450130555555501,291872.74560546875
1907,458.3517308388987,0.18986380714285717,0.19421017142857142,1506571.314453125
1908,459.2462302760074,0.18750862500000556,0.18933626388889443,138299.31323242188
1909,459.27964680989584,0.08096121944444,0.08232719722222667,202238.34790039062
1910,459.35447071216726,0.1902097916666611,0.1922413194444389,173786.69091796875
1911,460.2682632446289,0.15204176709401668,0.15363707905982502,2915590.1845703125
1912,463.2658996582031,0.18159991218637528,0.18356600537634302,386632.1437988281
1913,463.37443626731454,0.20236124152046633,0.20484001213450082,492165.35595703125
1914,463.37443626731454,0.2079089662280673,0.21003362675438256,354717.9375
1915,463.39820861816406,0.1949584531250052,0.19753256597222293,616331.0920410156
1916,464.19581298828126,0.008704663793103447,0.010540511494252872,473440.74462890625
1917,464.20537923177085,0.19091034722221664,0.19227401388888332,185792.19482421875
1918,464.28137823251575,0.20371156111111668,0.21557076111111667,1077070.6437988281
1919,464.3119056338356,0.19324147008547563,0.19474167521368074,922748.767578125
1920,464.3571896436738,0.1843720167714887,0.18610148427673145,557505.564453125
1921,464.37084896006485,0.20082739682539166,0.20539856349206664,669473.0356445312
1922,464.42889985584077,0.20216919923372184,0.20381261398467643,172679.70581054688
1923,465.28434680757067,0.2314094946236581,0.23308044534050698,236524.4169921875
1924,465.316353633486,0.19252200877192982,0.19426659649122807,298466.0959472656
1925,465.36816133771623,0.2017221131796711,0.2044359840425539,828527.3125
1926,465.36816133771623,0.20962773699763407,0.21234160786051684,854780.8125
1927,465.37800048828126,0.1868154253472224,0.18909262500000418,170957.65161132812
1928,465.3899622503317,0.21516879779411446,0.21861406535947647,467583.86083984375
1929,466.31529126848494,0.15176631481481415,0.15425890740740253,2822763.75
1930,466.3278340657552,0.19567196618358043,0.19684319082126162,246287.52026367188
1931,466.3878748276654,0.1823857077294732,0.1837376823671471,150775.57763671875
1932,466.39398835834703,0.21615597777777265,0.21698887777777467,66905.91796875
1933,466.39398835834703,0.21708142222221932,0.21809941111111067,37552.921142578125
1934,466.40861711598404,0.18683738888888335,0.18926445785440058,335926.10693359375
1935,466.40861711598404,0.19203825095784885,0.1943497452107224,2011766.0
1936,467.20477294921875,0.18988866756272313,0.19077336917562474,61923.791259765625
1937,467.20477294921875,0.19077336917562474,0.1919529713261602,158198.74731445312
1938,467.3189405358356,0.15180386302681434,0.15393116187738906,779173.1352539062
1939,467.4118137359619,0.19213102116401665,0.19361114550265002,527766.9658203125
1940,468.38859219021265,0.18239431854838575,0.1847063978494591,2880754.5
1941,468.38859219021265,0.1849265958781328,0.18701847715053252,1127321.0
1942,468.4021464029948,0.1875339312169365,0.188927052910054,399384.46484375
1943,469.31254724573205,0.18427293591140165,0.18591237200435787,952025.150390625
1944,469.32689299406826,0.20573325000000375,0.20969674999999732,1040376.0625
1945,469.3633331298828,0.20912807299741046,0.21070138695089882,647779.5625
1946,469.3844580078125,0.20186379761904527,0.20388411507936907,865956.875
1947,469.3919726285067,0.18246286522633828,0.1847381676954762,749376.2053222656
1948,469.3919726285067,0.18495486316872747,0.1864717314814861,256922.234375
1949,469.4059581756592,0.18762969907407917,0.18909240277777917,123937.02612304688
1950,470.2869603774127,0.1519385555555611,0.15358877777778332,141276.57958984375
1951,470.2869603774127,0.15400133333333887,0.15554841666667224,196363.453125
1952,470.31567043728296,0.1844699583333286,0.18590610416666786,258475.55810546875
1953,470.33070249815245,0.20586881746031666,0.20929312585033572,293754.9553222656
1954,470.3879455566406,0.20199934722222165,0.20336479166666166,222006.93798828125
1955,470.4189037885822,0.20705132357357342,0.21287506981981577,892003.6848144531
1956,470.4190266927083,0.18885330555556026,0.19091611111110643,188537.833984375
1957,471.3289158033288,0.17328461545138335,0.17467145399304998,149217.17504882812
1958,471.3289158033288,0.17496863368055,0.17605829253471666,124130.21362304688
1959,471.3639579595521,0.19216892270530872,0.19433349999999586,4355590.5
1960,471.422607421875,0.2084932259759707,0.21084214414414235,167067.08081054688
1961,472.3019840891768,0.17070274149659864,0.1738048537414966,11158361.0
1962,472.30225865981157,0.15458261680911237,0.15736740527065854,6756302.5
1963,472.3022745768229,0.15147132407407063,0.15277701851852302,124111.34057617188
1964,472.3026083241338,0.1438788015873012,0.1458900932539637,1101633.2109375
1965,472.3475262185802,0.13081534722221666,0.13315568055555,218309.46313476562
1966,472.3673778333162,0.19217199455337158,0.1943230511982539,1183863.0747070312
1967,473.1554780847886,0.19079335606060152,0.19238906060606514,259868.08129882812
1968,473.305362701416,0.17091438157894298,0.1738910577485421,3139585.0
1969,473.3057635271991,0.15459097222221668,0.1572639722222167,1955241.125
1970,473.3061866760254,0.1441051706349262,0.14558538492064046,297513.1552734375
1971,473.3433005728373,0.1834105505529225,0.18689500974196896,1510023.25
1972,473.343994140625,0.16413488310184862,0.16550611574074445,133461.1162109375
1973,473.4307667125355,0.22356913591269403,0.22814011507936904,400788.3063964844
1974,474.2499830457899,0.1766796172839537,0.1782913292181031,282282.48974609375
1975,474.30829026963977,0.17141536352656955,0.17312802536231378,455924.0078125
1976,474.3086181640625,0.15484732716048827,0.1567433765432043,300138.82470703125
1977,474.3471322195871,0.18280002210884352,0.18494046428571428,288124.13037109375
