,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML
1955,395.30327787853423,0.19780277011493794,0.19973462835248965,511885.9833984375
1956,395.3035176595052,0.20104114917695987,0.20293569650205867,111138.5341796875
1957,395.311861038208,0.19579350120772393,0.19696477294685436,99175.46899414062
1958,395.35561954273896,0.18670117958656782,0.1901630245478039,604163.86328125
1959,395.3873575846354,0.19554038611111166,0.19690614166667164,87454.65283203125
1960,396.2185953776042,0.19078636111111166,0.1921519166666717,209304.6376953125
1961,396.33133212002843,0.1743381880341936,0.17578216239316796,170371.5126953125
1962,396.4195200602214,0.18192879124578687,0.18382309764309648,144680.30541992188
1963,397.2289505004883,0.19931454356060607,0.20056360606060605,248798.765625
1964,397.2289505004883,0.20181266856060606,0.20510565151515153,669905.9375
1965,397.3278285435268,0.197454214539011,0.1990481861702131,1117463.9453125
1966,398.2320251464844,0.20225087198067174,0.203690736714979,99779.42993164062
1967,398.24711172921315,0.20252330291005796,0.20408974140211747,262911.10546875
1968,398.3314319957386,0.1975373839285768,0.19868565773809824,239093.77490234375
1969,399.0008865464491,0.034730321802125395,0.10485863464505844,52440116.0
1970,399.00108913845486,0.0022306895424781046,0.007094437908491177,1138967.111328125
1971,399.16026256930445,0.008962111111116668,0.011572527777783333,496841.0944824219
1972,399.27086817075127,0.1914937503192887,0.19489698786717952,1187966.5485839844
1973,399.27156789679276,0.1630115747863192,0.16441796901708847,256832.92138671875
1974,399.27171953986675,0.15033304666666666,0.15172214666666667,80046.26245117188
1975,399.3071965019484,0.186416960477699,0.1901413376220647,5741159.5
1976,399.3075985378689,0.17038170833333333,0.17202702083333332,192810.00512695312
1977,399.3244457244873,0.1861578293650849,0.18763797619048175,252766.79833984375
1978,399.345749798943,0.20286242361111667,0.20432370138889444,87970.173828125
1979,400.2741960797991,0.1920995593869684,0.19393624425287243,213860.54321289062
1980,400.29075254242997,0.10878336111111667,0.11161136111111666,374797.7785644531
1981,400.3107781043419,0.18655338963964457,0.19041175731982227,1310975.0358886719
1982,400.3417126464844,0.1731419232026196,0.17504963807189755,294484.51025390625
1983,400.41445696795427,0.17931904733958753,0.1825552363067237,425522.93798828125
1984,401.1783498128255,0.17723456378601052,0.17865666255143645,248670.54272460938
1985,401.2296617296007,0.1473248707264968,0.14882499038461988,123111.76977539062
1986,401.26566347868544,0.18654093650793097,0.18749867460316905,819600.7666015625
1987,401.26566347868544,0.18759444841269288,0.1886479603174548,684628.75
1988,401.28685302734374,0.1745581388888889,0.1755625,110492.115234375
1989,401.2871284484863,0.15499710185184648,0.15739652777777458,178003.90600585938
1990,401.3136917114258,0.18691540572390605,0.1887100572390606,111525.6474609375
1991,401.33742888077444,0.12020996388888833,0.12235531018518056,331505.1936035156
1992,401.3402328491211,0.20174149160206162,0.2033140497415965,521446.875
1993,401.3403540717231,0.19835751923076922,0.19967015384615383,493706.00146484375
1994,402.2690537396599,0.18665416898148196,0.1874769293981507,207796.943359375
1995,402.2690537396599,0.18756834722222498,0.18848252546296804,165272.04516601562
1996,402.3575892592921,0.15937768181817652,0.16222001136363448,342009.8728027344
1997,403.28041381835936,0.19664119179894685,0.19794492195767302,100792.80615234375
1998,403.28140607561386,0.18931182235142055,0.19057039599482983,266731.2888183594
1999,403.28140607561386,0.19067527713178062,0.19266801873384534,391855.34375
2000,405.26070089901197,0.18598379166666668,0.18710888141025128,416781.98193359375
2001,405.2610151502821,0.1745988685185189,0.17606163240741057,423634.1955566406
2002,405.298581077939,0.18856100396825,0.18936918809523667,120989.8330078125
2003,405.298581077939,0.18947021111111,0.19048044126984334,77265.8212890625
2004,405.33331705729165,0.1896227750677451,0.19212004336042807,181787.5888671875
2005,405.3565926185021,0.19300781849315068,0.19513132876712327,1717968.375
2006,406.2927872507196,0.15680241666666112,0.15836263888888336,128881.1640625
2007,406.3600222938939,0.19311742666667134,0.19469260888888598,397703.36572265625
2008,406.3881551106771,0.1940748787878803,0.19531437373737878,219070.30737304688
2009,407.2133165442425,0.19312716296296775,0.19488262962962777,577178.2827148438
2010,407.27610969543457,0.19521012179487052,0.1965228311965859,95792.85083007812
2011,407.3121908779802,0.19568538719254122,0.19952234393554236,779334.017578125
2012,407.3121908779802,0.20196404368108858,0.20312675784563436,121663.921875
2013,407.3121908779802,0.20335930067854352,0.20487082909245305,267989.875
2014,407.313719007704,0.19196210777778333,0.19279553777778333,101636.697265625
2015,407.313719007704,0.19279553777778333,0.19381417444445,57815.973388671875
2016,407.3269342041016,0.20595653304597702,0.2075957787356322,204482.77905273438
2017,407.3269342041016,0.20934430747126437,0.21196710057471263,258898.65966796875
2018,407.32718972598803,0.22229755434782245,0.22382932004831377,404496.63232421875
2019,407.3362606733274,0.18255611702127128,0.1847886578014181,237927.79296875
2020,407.3362606733274,0.18500128073286065,0.18648964125295853,319650.4375
2021,408.30759684244794,0.19372296349206905,0.19483372777778332,1784480.125
2022,408.30759684244794,0.1949347063492119,0.1963484063492119,1925300.125
2023,408.3095914400541,0.15693355930930405,0.15951006006005652,1011081.2895507812
2024,408.3095914400541,0.16141443018017793,0.16320677852852747,287535.4228515625
2025,408.3159071978401,0.19713417632850797,0.19857336473430506,142543.24951171875
2026,408.36752864606797,0.18989511718954805,0.19458126542484214,2084571.3559570312
2027,408.3802127838135,0.1776953333333389,0.1790677291666722,90668.9619140625
2028,409.1642043169807,0.17189946717171667,0.17349517171716666,199822.578125
2029,409.1838684082031,0.1954379979423821,0.1963852098765426,80771.53637695312
2030,409.2914585113526,0.18961583520599254,0.19086586985018725,92779.69409179688
2031,409.2914585113526,0.19097950936329589,0.19222954400749065,431080.46875
2032,409.2914585113526,0.19234318352059926,0.19461597378277154,711983.375
2033,409.2914585113526,0.19495689232209737,0.19859335674157302,1601062.388671875
2034,409.3110524053159,0.19388240462962444,0.19485756203703555,391781.9541015625
2035,409.3110524053159,0.19495507777777668,0.1960277509259289,399795.875
2036,409.31398090563323,0.15715589583332779,0.15898429861110555,245058.35424804688
2037,409.32772936139787,0.20123746141975463,0.20313572916667083,658239.25
2038,409.3714025160846,0.1902322506775122,0.19304176897019146,410440.34423828125
2039,409.38142623901365,0.20977827430555623,0.21319129282407848,511535.337890625
2040,409.3815981736824,0.22106618851132687,0.22450995064724918,785275.3754882812
