Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT502	356.248442384893	356.247946767728	356.248768690357	511.143	511.133	511.152	4	2	2	1	NA	NA	268545.762497394	905805.097119134	6296.86047632675	14949.7152141926	226237.934866071	875113.578902338	502	NA	NA	NA	NA	NA	41	NA
FT503	356.262620611417	356.262164909047	356.263084466083	712.115	711.664	712.564	8	4	4	1	249270.551673548	217317.478305806	198620.042236328	309527.013458492	213821.239534372	204278.094659041	150945.138881249	277930.823676274	503	124	[M+Na]+	2	861	333.270503035984	41	NA
FT504	356.2843060119	356.284028652633	356.284926543916	677.01	673.492	677.463	8	4	2	1	NA	18479.155951449	603772.654045743	373287.020944069	378464.426646087	633063.020698079	631012.219864315	663353.752517253	504	NA	NA	NA	NA	NA	40	NA
FT505	357.150359237604	357.150124232849	357.150844011987	680.305	680.07	680.533	8	4	4	1	309923.778793951	288486.365559033	317106.36309228	383350.628645831	290701.648141931	300287.103077016	262352.260563806	308073.59245964	505	NA	NA	NA	NA	NA	40	NA
FT506	357.200370232492	357.199640254592	357.200674445904	633.5725	633.558	633.582	6	3	3	1	NA	582921.173519914	872184.90166488	2083614.31232423	211517.877401901	558942.207293396	983852.043954175	2140224.34313151	506	16	[M+2Na-H]+	6	321;395;473;381;248	312.227959452989	11	NA
FT507	357.202651708377	357.202298562805	357.203056701951	617.9945	617.775	618.216	4	2	2	1	3234.27951825629	51592.7620658456	212011.788418524	753464.240410557	44816.4013157371	127662.104545482	174873.401830735	697557.486523425	507	NA	NA	NA	NA	NA	28	NA
FT508	357.278372582145	357.277824030548	357.27892293989	588.805	588.357	588.824	8	4	4	1	286422.582821877	282777.856372398	285617.59253212	361953.707545141	230130.088776045	233265.650185546	245792.905312499	351315.829979298	508	NA	NA	NA	NA	NA	41	NA
FT509	357.298918270377	357.298585289522	357.299114184219	694.556	689.73	694.577	10	4	4	1	1018551.47116667	1083694.38498124	1023322.81318182	1016658.56951389	966021.683440616	885126.439979166	937716.930112507	969770.593957803	509	25	[M+H]+	4	585;568;426	356.292352302205	13	NA
FT510	358.273491820549	358.273345053133	358.273638587965	675.025	674.807	675.243	2	0	2	1	1346603.06182244	1461559.08010328	34922.5720390623	31319.057213867	3233.24213476561	1530.88234716796	NA	1512.4680805664	510	NA	NA	NA	NA	NA	19	NA
FT511	358.302431919463	358.302358617879	358.302498299473	689.753	689.73	694.556	5	0	4	1	188618.80679101	178602.255835939	195174.01170313	175765.584866631	24372.8333290266	144231.185083126	37491.0322986781	37180.3505961916	511	NA	NA	NA	NA	NA	7	NA
FT512	358.306927602744	358.306370506522	358.307226217064	714.741	714.727	714.756	8	4	4	1	987395.891913294	851118.942789069	875466.819529518	1455751.88111806	1081837.8867257	1087913.75671528	1600981.84900003	1343999.57361981	512	93	[M+Na]+	2	399	335.317759256819	38	NA
FT513	359.020484533547	359.020393188614	359.02057587848	546.9065	546.695	547.118	2	2	0	1	3393.98738269044	NA	NA	NA	516930.211499481	480652.263205468	422030.66407544	273402.193649292	513	NA	NA	NA	NA	NA	3	NA
FT514	359.165751241454	359.16537594404	359.166360480829	694.1205	693.674	694.568	8	4	4	1	2619141.93862495	2269868.93027347	2663482.2638219	3216538.12960518	2608419.88792111	2475252.46850505	2491986.55117045	2597392.18413593	514	NA	NA	NA	NA	NA	13	NA
FT515	359.215974211783	359.215375668596	359.216421697824	651.1335	650.673	651.564	6	3	3	1	NA	592452.636826567	1039073.53549061	2471823.94849006	85299.9773051082	440823.564257818	854923.602766408	2164381.2451875	515	14	[M+2Na-H]+	5	334;409;387;259	314.245591329283	10	NA
FT516	359.216609918645	359.216001120967	359.216648824558	594.523	594.504	594.947	4	1	3	1	22609.3285303622	304272.97289496	561025.224593747	1243639.76225892	27546.8452008611	47782.9309703979	335368.941769535	69858.7361414794	516	29	[M+2Na-H]+	5	333;407;482;257	314.243729439996	14	NA
