PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	371	2.719407	2.829135	2.938815	261.1305	146623.671875	1009065.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	91.04002	261.13049:142706 262.13412:11608 262.98111:4702 263.13458:2585	
1	Unknown	459	3.275192	3.472665	3.560483	283.1747	86923.828125	804593.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	63.04695	283.1149:6885 283.17471:84294 284.17792:12242 287.07016:4492	
2	Unknown	459	3.399523	3.472665	3.545805	305.1567	109368.9296875	625200.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	57.02562	305.15671:116401 306.16:15193 307.83063:2512 308.0665:23732 309.13016:5126	
3	Unknown	470	3.370393	3.553108	3.757888	204.1592	81763.7578125	312171.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1635.275	203.99147:8668 204.07159:13310 204.15919:101167 205.02841:20645 205.16252:12173 205.98698:108499 206.0601:7684 206.99455:10408 207.00734:3255 207.62325:2107 208.9951:21055 209.07736:2745 209.11639:2632	
4	Unknown	524	3.904162	3.948043	4.16014	344.2275	87810.484375	583716.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	74.97469	344.22754:96239 345.23108:13412 346.23111:2811 346.43402:2421 346.86649:2484 348.06866:4161 348.98962:2702 349.18301:65091	
5	Unknown	562	4.123569	4.225972	4.284468	215.125	176941.3125	989623.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	111.6144	215.10252:4671 215.12502:193527 216.08636:20314 216.12834:18494 217.10333:4498 217.12036:3023 217.33467:2309 217.98595:3279 217.99556:2701 218.10193:49369 218.99493:5845 219.01717:14091 219.10489:4186 219.99126:2800 220.04886:108028	
6	Unknown	576	4.299102	4.32841	4.51124	388.2536	135952.84375	664585.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	102.4267	388.24011:2786 388.25363:148589 389.25735:25481 389.99481:5321 390.20825:3141 390.49509:3338 391.00241:7697 391.50385:4864 391.51633:4002 392.22641:3148 393.20895:69698	
7	Unknown	612	4.335665	4.59164	4.83299	377.1451	70246.3125	328192.96875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1404.926	377.14511:77525 378.03848:2726 378.14859:13209 378.21164:3807 379.17325:3875 381.18845:6021	
8	Unknown	618	4.350293	4.635529	4.84763	432.2797	163971.390625	959301.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	151.1663	432.27969:165471 433.2829:35802 434.28717:5307 435.9176:3767 436.25244:2638 437.23495:53504	
9	Unknown	656	4.650163	4.913515	5.09633	476.306	171840.515625	774375.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	198.0076	476.306:178968 477.30936:44537 478.31149:4893 479.44604:2415 481.26147:53909	
10	Unknown	658	4.555072	4.92807	5.125535	259.1512	116335.71875	1705312.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	92.74475	259.12872:3278 259.15125:107775 259.49921:2261 260.15421:11977 261.10941:3522 261.1308:3743 262.16449:10601 262.98154:3463 263.12448:4788	
11	Unknown	665	4.657515	4.979262	5.352308	218.2109	5980038.5	27504188	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10603.48	217.99507:2406 218.10201:40343 218.1386:10403 218.15849:7021 218.16306:9181 218.18254:8271 218.18466:6267 218.18974:11509 218.19221:10636 218.19691:18150 218.20076:39430 218.20285:35604 218.21092:6737105 218.22224:34216 218.2272:19468 218.22983:7276 218.23247:5413 218.23488:8028 218.23709:8829 218.25671:8852 218.26109:8124 218.52245:3150 218.56456:2036 218.58566:5742 218.59883:3439 218.63284:2997 218.99474:4970 219.01692:12813 219.10536:5002 219.21426:859338 219.2238:3131 219.22542:2927 220.04869:92223 220.21338:13510 220.21819:36008 220.99466:4300 221.05164:4431 221.11694:6142 221.54256:2634 222.1114:3130 223.09348:24622 223.13248:7325	
12	Unknown	665	4.723292	4.979262	5.235239	219.2143	774720.4375	3494409.5	null	[M+H]+	M + 1	isotope of 11	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1131.727	218.99474:4970 219.01692:12813 219.10536:5002 219.21426:859338 219.2238:3131 219.22542:2927 220.04869:92223 220.21338:13510 220.21819:36008 220.99466:4300 221.05164:4431 221.11694:6142 221.54256:2634 222.1114:3130 223.09348:24622 223.13248:7325	
13	Unknown	673	4.825676	5.03777	5.271807	198.1848	103930.4453125	462131.65625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	45.40573	197.83386:2234 198.07584:6594 198.18481:117815 199.09599:5953 199.18814:18277 200.09132:20649 200.20055:8513 201.02318:5171 201.09488:3089 201.11195:6429 201.12712:2992 201.99237:25989 202.10701:3657 203.02234:12804 203.10629:7273	
14	Unknown	673	4.781795	5.03777	5.191357	216.1954	153517.90625	665128.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3070.358	215.99548:2791 216.07138:3512 216.08627:16519 216.19539:172840 217.10353:6807 217.19861:20370 217.99493:4559 218.1019:49499 218.13821:6050 218.20041:3220 218.21097:1783356 218.21989:5746 218.99445:6385 219.017:11389 219.1011:2733 219.21428:226481 220.00262:2759 220.04874:107284 220.21339:4188 220.21832:12558 220.29068:2417 220.99529:5425 221.11737:5913	
15	Unknown	674	4.781795	5.045085	5.301062	188.2005	370480.78125	1789913	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7409.616	188.09128:7674 188.20055:436908 189.20393:43523 190.00056:12336 191.02229:16446 191.04942:3277 191.06833:2705 191.10622:7949 192.06435:2855 193.08241:2777 193.12201:13678	
16	Unknown	684	5.030457	5.11822	5.344942	174.185	1497444.25	6805121	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29948.89	173.96082:56876 173.97198:4386 174.03032:2027 174.07593:32648 174.17523:2852 174.17731:4559 174.18498:1735039 174.19159:10992 174.45181:3061 174.96855:118607 175.04495:20487 175.09645:4161 175.11153:6815 175.18219:2992 175.18834:184543 175.9716:4194 175.99658:5229 176.04556:2997 176.09154:38223 176.19168:7310 176.96901:24049 176.98912:10074 177.00659:7900 177.03355:128721 177.04239:5452 177.05415:6016 177.09084:9612 177.31726:2620 177.96683:11859 177.99202:122582 178.03683:6498 178.07898:2175 178.96416:7882 178.99536:4047 179.00029:4038 179.07047:5128 179.10651:19700	
17	Unknown	684	4.920753	5.11822	5.323002	175.1883	158425.671875	701215.3125	null	[M+H]+	M + 1	isotope of 16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3168.513	174.96855:118607 175.04495:20487 175.09645:4161 175.11153:6815 175.18219:2992 175.18834:184543 175.9716:4194 175.99658:5229 176.04556:2997 176.09154:38223 176.19168:7310 176.96901:24049 176.98912:10074 177.00659:7900 177.03355:128721 177.04239:5452 177.05415:6016 177.09084:9612 177.31726:2620 177.96683:11859 177.99202:122582 178.03683:6498 178.07898:2175 178.96416:7882 178.99536:4047 179.00029:4038 179.07047:5128 179.10651:19700	
18	Unknown	689	4.92807	5.154788	5.25718	520.332	168118.328125	653520.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	200.5213	520.33203:194111 521.33539:44620 522.29181:3420 522.33789:8178 523.28186:3683 525.28717:42795	
19	Unknown	718	5.184043	5.366899	5.483908	232.1903	141454.65625	549411.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2829.093	232.04877:28556 232.19028:179980 233.05209:4130 233.11649:2924 233.19363:20529 233.98175:6127 234.13376:2164 235.01346:14407 235.02361:3011 235.09267:3986 235.13234:5158 235.65466:2657 236.02112:41067 236.11278:3240 237.10835:3034 237.11255:6334 237.14844:6231	
20	Unknown	718	5.154788	5.366899	5.505847	564.3582	135335.78125	499250.59375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	207.2221	564.35822:151784 565.36169:37867 566.28613:6376 566.36426:9702 568.53839:2879 569.31342:30558	
21	Unknown	743	5.286433	5.549735	5.791125	234.2059	979160.875	4219732	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19583.22	233.98183:3077 234.20593:1083443 234.6214:2380 235.01305:10615 235.13306:6340 235.20131:2809 235.20927:129934 235.37703:2344 236.02115:34577 236.21352:7936 237.08304:2277 237.10852:10830 237.14827:10866 238.02159:21069 239.01973:6937 239.0883:6414 239.12764:13536	
22	Unknown	743	5.46201	5.549735	5.688692	235.2093	126822.1875	516455.03125	null	[M+H]+	M + 1	isotope of 21	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	140.3205	235.01305:10615 235.13306:6340 235.20131:2809 235.20927:129934 235.37703:2344 236.02115:34577 236.21352:7936 237.08304:2277 237.10852:10830 237.14827:10866 238.02159:21069 239.01973:6937 239.0883:6414 239.12764:13536 240.0168:7111	
23	Unknown	744	5.483908	5.557177	5.681417	232.1903	100820.3984375	380756.5	null	[M+H]+	M + 0	similar chromatogram in higher mz_24	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2016.408	232.04887:20125 232.19032:124413 233.11754:4180 233.17323:2868 233.19383:10715 233.98117:4177 234.19301:4481 234.19771:7308 234.20595:1027971 235.01321:10856 235.13281:9440 235.16888:3435 235.20929:136275 236.02115:34190 236.20976:4552 236.97794:3267 237.04314:2343 237.10814:7648 237.11256:3294 237.14842:8527	
24	Unknown	745	5.396138	5.564363	5.666742	608.3844	87246.25	307324.28125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1744.925	608.3844:100550 609.38757:33671 610.39203:6344 613.33984:16107	
