PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	576	4.299102	4.32841	4.51124	388.2536	135952.84375	664585.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	102.4267	388.24011:2786 388.25363:148589 389.25735:25481 389.99481:5321 390.20825:3141 390.49509:3338 391.00241:7697 391.50385:4864 391.51633:4002 392.22641:3148 393.20895:69698	
1	Unknown	618	4.350293	4.635529	4.84763	432.2797	163971.390625	959301.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	151.1663	432.27969:165471 433.2829:35802 434.28717:5307 435.9176:3767 436.25244:2638 437.23495:53504	
2	Unknown	656	4.650163	4.913515	5.09633	476.306	171840.515625	774375.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	198.0076	476.306:178968 477.30936:44537 478.31149:4893 479.44604:2415 481.26147:53909	
3	Unknown	658	4.555072	4.92807	5.125535	259.1512	116335.71875	1705312.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	92.74475	259.12872:3278 259.15125:107775 259.49921:2261 260.15421:11977 261.10941:3522 261.1308:3743 262.16449:10601 262.98154:3463 263.12448:4788	
4	Unknown	665	4.657515	4.979262	5.352308	218.2109	5980038.5	27504188	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10603.48	217.99507:2406 218.10201:40343 218.1386:10403 218.15849:7021 218.16306:9181 218.18254:8271 218.18466:6267 218.18974:11509 218.19221:10636 218.19691:18150 218.20076:39430 218.20285:35604 218.21092:6737105 218.22224:34216 218.2272:19468 218.22983:7276 218.23247:5413 218.23488:8028 218.23709:8829 218.25671:8852 218.26109:8124 218.52245:3150 218.56456:2036 218.58566:5742 218.59883:3439 218.63284:2997 218.99474:4970 219.01692:12813 219.10536:5002 219.21426:859338 219.2238:3131 219.22542:2927 220.04869:92223 220.21338:13510 220.21819:36008 220.99466:4300 221.05164:4431 221.11694:6142 221.54256:2634 222.1114:3130 223.09348:24622 223.13248:7325	
5	Unknown	665	4.723292	4.979262	5.235239	219.2143	774720.4375	3494409.5	null	[M+H]+	M + 1	isotope of 4	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1131.727	218.99474:4970 219.01692:12813 219.10536:5002 219.21426:859338 219.2238:3131 219.22542:2927 220.04869:92223 220.21338:13510 220.21819:36008 220.99466:4300 221.05164:4431 221.11694:6142 221.54256:2634 222.1114:3130 223.09348:24622 223.13248:7325	
6	Unknown	673	4.825676	5.03777	5.271807	198.1848	103930.4453125	462131.65625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	45.40573	197.83386:2234 198.07584:6594 198.18481:117815 199.09599:5953 199.18814:18277 200.09132:20649 200.20055:8513 201.02318:5171 201.09488:3089 201.11195:6429 201.12712:2992 201.99237:25989 202.10701:3657 203.02234:12804 203.10629:7273	
7	Unknown	673	4.781795	5.03777	5.191357	216.1954	153517.90625	665128.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3070.358	215.99548:2791 216.07138:3512 216.08627:16519 216.19539:172840 217.10353:6807 217.19861:20370 217.99493:4559 218.1019:49499 218.13821:6050 218.20041:3220 218.21097:1783356 218.21989:5746 218.99445:6385 219.017:11389 219.1011:2733 219.21428:226481 220.00262:2759 220.04874:107284 220.21339:4188 220.21832:12558 220.29068:2417 220.99529:5425 221.11737:5913	
8	Unknown	674	4.781795	5.045085	5.301062	188.2005	370480.78125	1789913	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7409.616	188.09128:7674 188.20055:436908 189.20393:43523 190.00056:12336 191.02229:16446 191.04942:3277 191.06833:2705 191.10622:7949 192.06435:2855 193.08241:2777 193.12201:13678	
9	Unknown	684	5.030457	5.11822	5.344942	174.185	1497444.25	6805121	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29948.89	173.96082:56876 173.97198:4386 174.03032:2027 174.07593:32648 174.17523:2852 174.17731:4559 174.18498:1735039 174.19159:10992 174.45181:3061 174.96855:118607 175.04495:20487 175.09645:4161 175.11153:6815 175.18219:2992 175.18834:184543 175.9716:4194 175.99658:5229 176.04556:2997 176.09154:38223 176.19168:7310 176.96901:24049 176.98912:10074 177.00659:7900 177.03355:128721 177.04239:5452 177.05415:6016 177.09084:9612 177.31726:2620 177.96683:11859 177.99202:122582 178.03683:6498 178.07898:2175 178.96416:7882 178.99536:4047 179.00029:4038 179.07047:5128 179.10651:19700	
