PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
209	Unknown	1292	9.506387	9.564894	9.645349	277.216	291524.125	1704404.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.181747	277.17966:61508 277.21603:309695 278.18317:12876 278.21936:55436 278.9537:12345 279.10193:7925 279.23157:18096 280.23526:3568 280.95383:2433 281.05112:34361 281.11923:3771 281.17188:16029 281.24728:121997 282.00546:2875 282.05045:6518	
210	Unknown	1293	9.469811	9.572202	9.784295	360.3108	166024.953125	933137.1875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.67992	360.15079:5074 360.22321:5079 360.31076:182651 361.23288:31476 361.31412:43510 362.23648:6814 362.32623:11901 363.25043:19200 364.254:3049 364.2832:2908 365.23035:3452	
211	Unknown	1294	9.447918	9.579515	9.850166	235.1691	2428501	9519752	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1558.046	235.01347:3319 235.09605:2614 235.14523:4755 235.14757:4456 235.15338:4037 235.15608:9713 235.16048:12465 235.1691:2906582 235.17995:9855 235.2052:25640 235.58804:4251 236.02139:50199 236.17242:482045 237.02467:6412 237.07913:17462 237.11232:18869 237.1761:31682 237.18504:11256 238.02185:26369 238.08336:3420 238.14366:13163 239.08856:5371 239.14908:3451 240.01744:7480	
212	Unknown	1294	9.499065	9.579515	9.77703	236.1724	389159.65625	1480547.875	null	[M+H]+	M + 1	isotope of 211	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	725.2137	236.02139:50199 236.17242:482045 237.02467:6412 237.07913:17462 237.11232:18869 237.1761:31682 237.18504:11256 238.02185:26369 238.08336:3420 238.14366:13163 239.08856:5371 239.14908:3451 240.01744:7480 241.03764:4891	
213	Unknown	1294	9.389363	9.579515	9.703894	257.151	86315.546875	305280.03125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1726.311	257.03281:4816 257.151:101018 258.0036:3997 258.15454:13973 259.13028:7453 259.20541:22262 260.021:7240 260.20911:3731 261.1308:6471 261.22049:3128 261.33774:2270 262.02271:3844	
214	Unknown	1295	9.455189	9.58684	9.718478	186.1851	99713.0703125	318315.59375	null	[M+H]+	M + 0	similar chromatogram in higher mz_216	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	192.2984	186.11287:3612 186.18506:119786 186.22197:2601 186.99535:10993 187.00479:5551 187.10722:2672 187.14795:4845 187.18852:12004 188.09163:9159 188.12822:4560 189.12712:3080 189.16374:7580 190.00073:11891 191.0011:2579 191.02188:2668 191.10663:3676 191.17924:113430	
215	Unknown	1295	9.542952	9.58684	9.659964	293.2084	118244.421875	399924.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.47056	293.13544:3234 293.17456:47529 293.20837:148077 294.17776:7028 294.2117:19902 295.15317:2695 295.2265:97310 296.22968:15969 297.04645:6815 297.07288:2820 297.08215:10392 297.16745:3387 297.24216:28746 298.08173:3816	
216	Unknown	1295	9.484487	9.58684	9.652674	327.2504	102733.9609375	434999.96875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1990.289	327.00778:16036 327.07788:3756 327.18457:4052 327.2316:15912 327.2504:126132 327.38135:48593 328.23465:5490 328.25388:19901 329.00467:9877 329.2298:8786 329.24686:5365 330.26398:4860 331.15805:7322 331.18781:88797 331.24744:8165 332.06662:9410 332.19107:12433	
217	Unknown	1297	9.513699	9.601467	9.689219	161.096	181310.859375	655118.5	null	[M+H]+	M + 0	similar chromatogram in higher mz_218; similar chromatogram in higher mz_220; similar chromatogram in higher mz_221; similar chromatogram in higher mz_222	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	124.2334	160.98959:5743 161.05788:2270 161.09601:216106 161.13254:4572 162.07613:9495 162.0994:26369 162.11234:2941 163.03896:3587 163.07515:3694 163.1228:11382 163.14809:7774 164.0914:2739 164.9845:3000 165.05455:24539 165.06984:8562 165.12715:7139 166.05807:4398	
218	Unknown	1297	9.484487	9.601467	9.835497	277.1797	485496.84375	1845536	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	608.1549	277.16882:4704 277.17969:567080 277.21603:260453 278.18304:96108 278.21945:63023 278.95377:14241 279.10187:4883 279.15643:2771 279.18887:6749 279.22284:4174 279.23166:21070 280.23453:5988 281.05164:5871 281.11975:14619 281.1723:3854 281.24741:42783 281.9765:3657	
